Initialized:  9514 | Fitness: 1 / 2
Temper from 7815 at 740322 | Fitness: 7 / 43
Temper from 7815 at 751562 | Fitness: 6 / 43
Temper from 7567 at 762796 | Fitness: 7 / 44
Temper from 7468 at 774033 | Fitness: 9 / 46
Temper from 7515 at 785239 | Fitness: 8 / 46
Temper from 7470 at 796472 | Fitness: 9 / 47
Temper from 7468 at 807681 | Fitness: 11 / 49
Temper from 7468 at 818915 | Fitness: 10 / 49
Temper from 7468 at 830137 | Fitness: 9 / 49
Temper from 7474 at 841355 | Fitness: 8 / 49
Temper from 7468 at 852573 | Fitness: 10 / 51
Temper from 7468 at 863801 | Fitness: 9 / 51
Temper from 7485 at 875033 | Fitness: 8 / 51
Temper from 7485 at 886250 | Fitness: 7 / 51
Temper from 7739 at 897450 | Fitness: 6 / 51
Temper from 8075 at 908679 | Fitness: 5 / 51
Temper from 7577 at 919872 | Fitness: 6 / 52
Temper from 7455 at 931093 | Fitness: 8 / 54
Temper from 7471 at 942301 | Fitness: 7 / 54
Temper from 7455 at 953509 | Fitness: 9 / 56
Temper from 7569 at 964747 | Fitness: 8 / 56
Temper from 7500 at 975944 | Fitness: 9 / 57
Temper from 7506 at 987177 | Fitness: 8 / 57
Temper from 7506 at 998375 | Fitness: 7 / 57
Temper from 7452 at 1009574 | Fitness: 9 / 59
Temper from 7444 at 1020796 | Fitness: 11 / 61
Temper from 7448 at 1032018 | Fitness: 10 / 61
Temper from 7450 at 1043231 | Fitness: 9 / 61
Temper from 7462 at 1054425 | Fitness: 8 / 61
Temper from 7564 at 1065640 | Fitness: 7 / 61
Temper from 7500 at 1076854 | Fitness: 8 / 62
Temper from 7657 at 1088075 | Fitness: 7 / 62
Temper from 7657 at 1099301 | Fitness: 6 / 62
Temper from 7512 at 1110520 | Fitness: 7 / 63
Temper from 7565 at 1121711 | Fitness: 6 / 63
Temper from 7564 at 1132931 | Fitness: 7 / 64
Temper from 7655 at 1144132 | Fitness: 6 / 64
Temper from 7591 at 1155347 | Fitness: 7 / 65
Temper from 7535 at 1166555 | Fitness: 8 / 66
Temper from 7516 at 1177793 | Fitness: 9 / 67
Temper from 7507 at 1188991 | Fitness: 10 / 68
Temper from 7546 at 1200231 | Fitness: 9 / 68
Temper from 7507 at 1211470 | Fitness: 10 / 69
Temper from 7558 at 1222687 | Fitness: 9 / 69
Temper from 7558 at 1233925 | Fitness: 8 / 69
Temper from 7516 at 1245125 | Fitness: 9 / 70
Temper from 7701 at 1256354 | Fitness: 8 / 70
Temper from 7700 at 1267557 | Fitness: 9 / 71
Temper from 7700 at 1278768 | Fitness: 8 / 71
Temper from 7740 at 1289979 | Fitness: 7 / 71
Temper from 7688 at 1301192 | Fitness: 8 / 72
Temper from 7688 at 1312396 | Fitness: 7 / 72
Temper from 7801 at 1323625 | Fitness: 6 / 72
Temper from 7801 at 1334835 | Fitness: 5 / 72
Temper from 7870 at 1346049 | Fitness: 4 / 72
Temper from 7945 at 1357256 | Fitness: 3 / 72
Temper from 7926 at 1368446 | Fitness: 4 / 73
Temper from 7904 at 1379687 | Fitness: 5 / 74
Temper from 7836 at 1390890 | Fitness: 6 / 75
Temper from 7836 at 1402103 | Fitness: 5 / 75
Temper from 7854 at 1413309 | Fitness: 4 / 75
Temper from 7926 at 1424540 | Fitness: 3 / 75
Temper from 7279 at 1435752 | Fitness: 5 / 77
Temper from 7297 at 1446972 | Fitness: 4 / 77
Temper from 7476 at 1458195 | Fitness: 3 / 77
Temper from 7117 at 1469392 | Fitness: 5 / 79
Temper from 7052 at 1480593 | Fitness: 7 / 81
Temper from 6967 at 1491787 | Fitness: 9 / 83
Temper from 7139 at 1502990 | Fitness: 8 / 83
Temper from 7012 at 1514227 | Fitness: 9 / 84
Temper from 7076 at 1525462 | Fitness: 8 / 84
Temper from 6984 at 1536696 | Fitness: 9 / 85
Temper from 6984 at 1547894 | Fitness: 8 / 85
Temper from 7042 at 1559102 | Fitness: 7 / 85
Temper from 7040 at 1570330 | Fitness: 8 / 86
Temper from 7042 at 1581554 | Fitness: 7 / 86
Temper from 7042 at 1592777 | Fitness: 6 / 86
Temper from 7270 at 1603982 | Fitness: 5 / 86
Temper from 7268 at 1615203 | Fitness: 6 / 87
Temper from 7135 at 1626424 | Fitness: 7 / 88
Temper from 6905 at 1637643 | Fitness: 9 / 90
Temper from 6905 at 1648843 | Fitness: 8 / 90
Temper from 6950 at 1660060 | Fitness: 7 / 90
Temper from 6950 at 1671250 | Fitness: 6 / 90
Temper from 6905 at 1682490 | Fitness: 8 / 92
Temper from 6973 at 1693721 | Fitness: 7 / 92
Temper from 6905 at 1704953 | Fitness: 9 / 94
Temper from 6905 at 1716162 | Fitness: 8 / 94
Temper from 7170 at 1727357 | Fitness: 7 / 94
Temper from 7307 at 1738591 | Fitness: 6 / 94
Temper from 7325 at 1749793 | Fitness: 5 / 94
Temper from 7296 at 1761001 | Fitness: 6 / 95
Temper from 7263 at 1772227 | Fitness: 7 / 96
Temper from 7241 at 1783434 | Fitness: 8 / 97
Temper from 7231 at 1794658 | Fitness: 9 / 98
Temper from 7231 at 1805856 | Fitness: 8 / 98
Temper from 7604 at 1817060 | Fitness: 7 / 98
Temper from 7406 at 1828268 | Fitness: 8 / 99
Temper from 7291 at 1839493 | Fitness: 9 / 100
Temper from 7330 at 1850718 | Fitness: 8 / 100
Temper from 7133 at 1861916 | Fitness: 9 / 101
Temper from 7056 at 1873117 | Fitness: 10 / 102
Temper from 7242 at 1884318 | Fitness: 9 / 102
Temper from 7186 at 1895509 | Fitness: 10 / 103
Temper from 7051 at 1906718 | Fitness: 11 / 104
Temper from 7096 at 1917957 | Fitness: 10 / 104
Temper from 7116 at 1929152 | Fitness: 9 / 104
Temper from 7115 at 1940375 | Fitness: 10 / 105
Temper from 7096 at 1951588 | Fitness: 11 / 106
Temper from 7096 at 1962794 | Fitness: 10 / 106
Temper from 7096 at 1973986 | Fitness: 9 / 106
Temper from 7051 at 1985182 | Fitness: 10 / 107
Temper from 7243 at 1996410 | Fitness: 9 / 107
Temper from 7243 at 2007618 | Fitness: 8 / 107
Temper from 7103 at 2018857 | Fitness: 9 / 108
Temper from 7380 at 2030088 | Fitness: 8 / 108
Temper from 6967 at 2041304 | Fitness: 9 / 109
Temper from 6967 at 2052502 | Fitness: 8 / 109
Temper from 7063 at 2063718 | Fitness: 7 / 109
Temper from 7136 at 2074940 | Fitness: 6 / 109
Temper from 7134 at 2086174 | Fitness: 7 / 110
Temper from 7134 at 2097401 | Fitness: 6 / 110
Temper from 7147 at 2108623 | Fitness: 5 / 110
Temper from 6950 at 2119828 | Fitness: 6 / 111
Temper from 7035 at 2131068 | Fitness: 5 / 111
Temper from 7035 at 2142272 | Fitness: 4 / 111
Temper from 7035 at 2153488 | Fitness: 3 / 111
Temper from 7035 at 2164696 | Fitness: 2 / 111
Temper from 7035 at 2175910 | Fitness: 1 / 111
2187116 iterations from 9514 to 6905
OPTIMIZED SUCCESSFULLY 6905
0 4 2 17 16 15 37 39 38 36 35 40 21 20 24 23 22 19 18 1 8 9 7 6 5 51 49 52 50 48 29 28 25 27 26 3 13 11 10 12 14 41 47 42 46 43 45 44 34 32 33 31 30 0
